0.00	5.27	6.15	7.27	9.98	9.47	8.90	6.57	6.37	12.30	10.15	12.90	14.23	19.60	17.75	17.55	13.33	12.77
6.12	0.00	1.23	4.82	7.73	6.28	8.70	7.85	7.65	13.57	15.40	14.43	17.33	14.88	11.40	11.83	7.55	7.62
6.93	2.20	0.00	5.05	7.98	6.53	8.85	8.95	8.75	14.80	16.50	14.72	17.53	15.13	12.43	12.23	8.02	7.45
6.68	5.03	4.87	0.00	5.65	5.45	5.58	6.35	6.15	13.67	14.58	16.40	18.67	13.85	10.37	10.80	6.88	6.95
8.70	7.83	8.33	5.35	0.00	2.23	3.07	5.52	5.68	11.92	16.15	18.13	20.23	12.85	9.37	9.80	7.62	7.85
8.88	6.98	6.83	5.42	2.25	0.00	2.90	6.40	6.57	11.13	16.78	16.73	19.55	11.45	7.97	8.40	6.22	6.45
8.33	8.62	9.12	6.13	3.65	3.62	0.00	4.85	5.02	9.82	15.77	18.52	19.85	13.10	9.63	10.05	9.12	9.35
6.27	7.23	8.13	6.82	5.78	6.37	4.45	0.00	0.18	11.15	13.70	16.45	17.78	16.17	12.70	13.12	12.43	12.67
6.08	7.05	7.95	6.63	5.98	6.57	4.65	0.20	0.00	11.35	13.52	16.27	17.60	16.37	12.90	13.32	12.63	12.87
13.27	14.23	15.13	13.82	11.60	12.10	10.75	9.30	9.10	0.00	20.70	23.45	24.78	17.65	14.18	14.62	13.33	14.33
9.15	11.73	12.05	13.73	15.87	15.35	14.78	11.92	11.72	17.42	0.00	16.70	18.03	25.13	21.97	23.35	19.13	18.57
14.37	15.90	15.25	17.68	19.55	18.10	20.60	19.37	19.17	25.08	17.88	0.00	2.82	16.93	13.77	17.77	17.27	16.70
16.28	17.82	17.17	20.43	22.32	20.87	22.52	19.57	19.37	25.28	18.57	2.77	0.00	18.83	15.67	19.67	18.32	19.47
23.50	16.77	16.62	15.33	14.37	12.92	14.85	17.60	17.78	19.13	26.68	16.52	19.78	0.00	9.85	11.82	10.60	12.17
15.95	10.50	10.35	9.07	8.10	6.65	8.58	11.33	11.52	12.87	22.52	13.97	17.25	8.88	0.00	5.68	4.33	6.03
17.62	12.73	12.58	11.30	10.33	8.88	10.82	13.57	13.75	15.10	24.75	17.85	21.13	10.60	7.03	0.00	6.57	7.70
12.98	8.53	8.38	7.10	6.13	4.68	7.02	9.53	9.72	11.05	20.67	17.70	20.52	11.53	8.92	8.72	0.00	2.28
12.40	9.30	9.15	8.07	7.10	5.65	7.98	10.50	10.68	12.02	21.17	16.83	19.65	10.87	6.97	6.77	2.05	0.00
