0.00	5.30	6.20	7.28	10.02	9.55	8.95	6.58	6.37	12.27	10.27	12.85	14.15	19.67	17.67	17.47	13.25	12.68
6.18	0.00	1.25	4.75	7.77	6.32	8.70	7.85	7.63	13.53	15.52	14.43	17.33	14.98	11.38	11.85	7.85	7.62
6.98	2.20	0.00	5.05	7.97	6.52	8.85	8.98	8.77	14.78	16.65	14.60	17.42	15.18	12.35	12.15	7.93	7.37
6.68	5.00	4.90	0.00	5.67	5.50	5.62	6.37	6.15	13.67	14.72	16.32	18.62	13.92	10.32	10.78	7.15	6.92
8.70	7.80	8.32	5.33	0.00	2.25	3.08	5.55	5.73	11.90	16.30	18.02	20.18	12.90	9.30	9.77	7.60	7.85
8.88	6.98	6.83	5.42	2.32	0.00	2.93	6.43	6.62	11.13	16.92	16.63	19.45	11.52	7.92	8.38	6.22	6.47
8.38	8.60	9.12	6.13	3.65	3.62	0.00	4.85	5.03	9.82	15.90	18.48	19.78	13.13	9.53	10.00	9.12	9.37
6.30	7.25	8.15	6.77	5.83	6.40	4.52	0.00	0.18	11.18	13.80	16.40	17.70	16.22	12.62	13.08	12.50	12.75
6.12	7.07	7.97	6.58	6.05	6.62	4.73	0.22	0.00	11.40	13.62	16.22	17.52	16.72	13.12	13.58	12.72	12.97
13.28	14.23	15.13	13.75	11.58	12.05	10.75	9.35	9.13	0.00	20.78	23.38	24.68	17.70	14.08	14.57	13.30	14.28
9.17	11.75	12.08	13.73	15.90	15.43	14.83	11.92	11.70	17.42	0.00	16.63	17.95	25.15	21.95	23.28	19.07	18.50
14.77	15.90	15.25	17.73	19.62	18.17	20.98	19.37	19.15	25.05	17.92	0.00	2.82	16.98	13.78	17.77	17.33	16.77
16.65	17.78	17.13	20.38	22.38	20.93	22.87	19.60	19.38	25.28	18.58	2.77	0.00	18.87	15.67	19.65	18.30	19.53
21.37	16.78	16.63	15.33	14.38	12.93	14.87	17.63	17.80	19.13	26.70	16.48	19.80	0.00	9.82	11.82	10.63	12.17
16.03	10.48	10.33	9.03	8.08	6.63	8.57	11.33	11.50	12.83	22.63	14.15	17.47	8.97	0.00	5.68	4.33	6.03
17.70	12.73	12.58	11.28	10.33	8.88	10.82	13.58	13.75	15.10	24.88	18.05	21.37	10.68	7.00	0.00	6.58	7.70
13.10	8.52	8.37	7.07	6.12	4.67	7.02	9.53	9.70	11.03	20.78	17.83	20.65	11.58	8.92	8.72	0.00	2.28
12.48	9.25	9.10	8.07	7.12	5.67	8.02	10.53	10.70	12.03	21.38	16.93	19.75	10.93	6.97	6.77	2.03	0.00
