0	1.712	2.11	3.017	4.536	4.334	4.168	3.142	3.089	9.053	4.77	7.48	10.053	12.414	7.276	7.681	5.095	4.816
2.019	0	0.381	1.989	4.062	3.39	3.89	3.507	3.454	9.418	7.265	5.594	6.959	10.794	7.683	7.4	3.478	3.432
2.318	0.691	0	2.227	4.068	3.396	4.523	4.018	3.965	12.381	7.776	5.898	7.587	10.8	5.438	5.843	3.257	2.978
3.196	1.989	2.249	0	2.701	2.663	2.74	2.651	2.598	9.467	7.31	7.098	12.592	10.264	7.153	6.87	3.338	3.292
3.982	3.516	3.813	2.617	0	0.671	0.967	1.972	2.026	9.174	8.028	8.244	13.311	9.451	6.34	6.057	3.814	3.988
4.149	3.541	3.484	2.663	0.671	0	1.166	2.642	2.696	10.36	8.263	7.572	9.261	8.779	5.668	5.385	3.142	3.316
3.599	3.715	4.012	2.816	1.013	1.36	0	1.787	1.841	8.473	7.823	10.533	13.106	10.395	7.284	7.001	4.381	4.555
3.05	3.283	3.681	3.128	2.209	2.763	1.787	0	0.054	7.76	7.274	9.984	12.557	12.052	8.941	8.658	5.683	5.857
2.996	3.229	3.627	3.074	2.263	2.817	1.841	0.054	0	7.814	7.22	9.93	12.503	12.235	9.124	8.841	5.737	5.911
9.494	9.727	10.125	9.572	9.038	10.603	8.634	7.246	7.192	0	13.718	16.428	19.001	16.853	13.742	13.459	12.616	12.101
4.722	5.725	5.56	7.03	8.675	8.473	8.307	6.852	6.799	11.161	0	9.361	11.934	15.895	14.531	11.241	8.655	8.376
6.323	5.89	5.633	7.764	8.775	8.103	9.306	10.395	10.342	16.307	11.286	0	1.689	9.936	8.572	11.293	6.971	6.692
7.372	6.939	6.682	8.901	10.42	9.748	10.355	11.557	11.504	17.469	11.811	1.645	0	10.985	9.621	12.342	12.354	8.337
13.468	11.665	11.608	11.201	10.315	9.643	11.518	13.008	13.061	17.931	17.274	8.876	11.396	0	5.45	7.703	7.706	7.654
7.19	7.034	6.977	6.57	5.684	5.012	6.887	8.377	8.43	13.301	14.419	7.86	10.379	4.806	0	3.065	3.076	3.016
7.347	7.257	7.2	6.793	5.907	5.235	7.11	8.6	8.653	13.524	14.642	9.843	12.362	6.205	3.087	0	3.299	3.173
6.447	4.644	4.587	4.18	3.294	2.622	3.748	5.993	6.046	10.917	10.659	6.856	8.545	9.043	3.527	3.932	0	0.666
4.799	3.674	3.617	4.638	3.752	3.08	4.206	6.451	6.504	11.375	9.036	6.519	8.208	6.749	2.851	3.256	0.666	0
